casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00094884,100 Block OAKLAND AVE,2023-11-18T08:49:00.000,11,2023,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,JLanier,2023-00094884-001,None,None
2023-00094878,100 Block OAKLAND AVE,2023-11-18T08:47:00.000,11,2023,Burglary,11-8-2.2,B&E OF DWELLING WHEN RESIDENT HOME,1,JLanier,2023-00094878-001,None,Burglary
2023-00094874,100 Block WAYLAND AVE,2023-11-18T07:56:02.000,11,2023,Burglary,11-8-4,B&E BUS.PLACE PUBLIC BLDG  OR SHIP W/FEL. INTENT,1,KBaxter,2023-00094874-001,None,Burglary
2023-00094874,100 Block WAYLAND AVE,2023-11-18T07:56:02.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KBaxter,2023-00094874-002,None,None
2023-00094573,0 Block ANDEM ST,2023-11-17T09:25:00.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00094573-001,None,None
2023-00094427,N MAINST & RANDALL ST,2023-11-16T19:35:00.000,11,2023,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,KEndres,2023-00094427-001,None,None
2023-00094400,0 Block LONGFELLOW DR,2023-11-16T17:45:37.000,11,2023,Auto Towed,Not Used,Parking or MV Violation,0,TJones,2023-00094400-001,None,None
2023-00094335,100 Block KENNEDY PL,2023-11-16T15:24:31.000,11,2023,Disturbance,Not Used,No Violations,0,MKelley,2023-00094335-001,None,None
2023-00502570,0 Block 77 METROPOLITAN ROAD,2023-11-16T10:49:13.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502570-001,None,Larceny-theft
2023-00502569,100 Block RUGGLES,2023-11-16T10:34:44.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502569-001,None,Larceny-theft
2023-00094243,0 Block LOUNGO SQUARE,2023-11-16T10:01:12.000,11,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MCamardo,2023-00094243-001,None,Motor Vehicle Theft
2023-00502561,RADCLIFFE AVE,2023-11-14T22:50:09.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502561-001,None,None
2023-00093826,0 Block PARKIS ST,2023-11-14T17:21:49.000,11,2023,Auto Towed,Not Used,Parking or MV Violation,0,NColicci,2023-00093826-001,None,None
2023-00093806,0 Block KENNEDY,2023-11-14T16:03:36.000,11,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,GGenao,2023-00093806-001,None,Larceny-theft
2023-00502556,RESERVOR AVE AVE,2023-11-14T14:41:39.000,11,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,NField,2023-00502556-001,None,None
2023-00093523,400 Block PLEASANT VALLEY PKY,2023-11-13T12:26:00.000,11,2023,Defacing Property,Not Used,"Under Investigation, Offense Pending",0,GScarcello,2023-00093523-001,,
2023-00502542,"AVE,PROVIDENCE",2023-11-12T15:06:31.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502542-001,None,Larceny-theft
2023-00093241,0 Block FONES ALY,2023-11-12T12:07:00.000,11,2023,Request for Assistance,Not Used,No violations,0,LGianfrancesco,2023-00093241-001,None,None
2023-00502541,SMITH ST,2023-11-12T11:13:09.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502541-001,None,None
2023-00502539,SPRUCE STREET ST,2023-11-12T08:38:18.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502539-001,None,None
2023-00093208,0 Block RUTHGLEN AVE,2023-11-12T08:08:26.000,11,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,ADeschamps,2023-00093208-001,None,Larceny-theft
2023-00093211,400 Block BROADWAY,2023-11-12T08:06:00.000,11,2023,Auto Towed,Not Used,Parking or MV Violation,0,SCooney,2023-00093211-001,None,None
2023-00093179,200 Block HIGH SERVICE AVE,2023-11-12T02:56:00.000,11,2023,"Assault,Felony",Not Used,No violations,0,JLeroux,2023-00093179-001,Aggravated Assault,None
2023-00093090,PARK ST,2023-11-11T22:53:15.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,MDuffy,2023-00093090-001,None,Larceny-theft
