casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00077917,0 Block PLEASANT VALLEY,2023-09-23T02:55:13.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DPalumbo,,
2023-00077917,0 Block PLEASANT VALLEY,2023-09-23T02:55:13.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DPalumbo,,
2023-00077726,0 Block OBSORN ST,2023-09-22T17:37:11.000,9,2023,Request for Assistance,Not Used,No Violations,0,RSanchez,,
2023-00077587,200 Block BROAD WAY,2023-09-22T10:21:00.000,9,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,,
2023-00077573,0 Block OAKLAND AVE,2023-09-22T09:22:00.000,9,2023,Larceny - Theft,Not Used,No violations,0,Central Station,,
2023-00077497,100 Block OAKLAND AVE,2023-09-22T00:36:00.000,9,2023,Dispersals,Not Used,No Violations,0,MRoman,,
2023-00077446,0 Block PORTLAND ST,2023-09-21T21:33:00.000,9,2023,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,DMartinez,,
2023-00077383,0 Block THOMAS OLNEY COMMON,2023-09-21T17:57:00.000,9,2023,Suspicious Person,Not Used,No violations,0,PHourahan,,
2023-00077215,0 Block COURTLAND ST,2023-09-21T08:10:33.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MCaraccia,,
2023-00077207,100 Block WAYLAND AVE,2023-09-21T07:51:00.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,AHampton,,
2023-00077018,500 Block EATON,2023-09-20T16:29:36.000,9,2023,Assistance Rendered,Not Used,No Violations,0,SCerullo,,
2023-00076986,600 Block UNION ST,2023-09-20T14:22:47.000,9,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ADeschamps,,
2023-00076968,700 Block CAHIR ST,2023-09-20T13:42:00.000,9,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,,
2023-00076891,300 Block BARROWS ST,2023-09-20T08:15:08.000,9,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,SSesay,,
2023-00076713,100 Block BROADWAY,2023-09-19T15:14:48.000,9,2023,Request for Assistance,Not Used,No Violations,0,DMonteiro,,
2023-00076131,0 Block DICKENS AVE,2023-09-17T16:08:34.000,9,2023,Property Damage,Not Used,No Violations,0,JBenros,,
2023-00502091,0 Block ATWELLS,2023-09-16T20:39:59.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00075739,0 Block VANDEWATER ST,2023-09-16T11:19:26.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTueros,,
2023-00075707,100 Block RADCLIFFE ST,2023-09-16T07:41:57.000,9,2023,Request for Assistance,Not Used,No violations,0,JLanier,,
2023-00075431,0 Block VANDEWATER ST,2023-09-15T11:22:00.000,9,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,,
