casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00100649,100 Block DUDLEY ST,2023-12-09T16:05:00.000,12,2023,Dispersals,Not Used,No Violations,0,CSimanski,2023-00100649-001,41.810081337500066,-71.41271495499996,E911,None,None
2023-00100648,CHALKSTONE AVE &  PEKIN ST,2023-12-09T16:05:00.000,12,2023,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,EBreault,2023-00100648-001,41.83561706291618,-71.42415619716377,RIDOT,Aggravated Assault,None
2023-00100645,600 Block BROAD ST,2023-12-09T15:49:00.000,12,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,CSimanski,2023-00100645-001,41.80637710550005,-71.41991359399995,E911,None,None
2023-00100641,100 Block BROAD ST,2023-12-09T15:25:00.000,12,2023,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,Central Station,2023-00100641-001,41.81743972350006,-71.41676518499997,E911,None,Larceny-theft
2023-00100633,0 Block POINT ST,2023-12-09T15:09:00.000,12,2023,Fraud,Not Used,No violations,0,Central Station,2023-00100633-001,41.817344665000036,-71.40595416649995,E911,None,None
2023-00100632,600 Block N MAIN ST,2023-12-09T15:03:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DWilson,2023-00100632-001,41.83859840100004,-71.40843200049997,E911,None,None
2023-00100636,0 Block TANNER ST,2023-12-09T14:52:00.000,12,2023,Stolen Property,Not Used,No Violations,0,CSimanski,2023-00100636-001,41.811203063500045,-71.41685074049994,E911,None,None
2023-00502736,100 Block HUXLEY AVENUE AVE,2023-12-09T14:46:36.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502736-001,41.84106650350006,-71.43399146149997,E911,None,None
2023-00502735,200 Block BENEFIT ST,2023-12-09T13:05:07.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia,2023-00502735-001,41.82563445100007,-71.40655847399998,E911,None,Larceny-theft
2023-00100596,0 Block PROVIDENCE PL,2023-12-09T12:10:00.000,12,2023,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2,MHames,2023-00100596-001,41.827849931500054,-71.41595903999996,E911,None,Larceny-theft
